country,First,Days_In_Data,Start_Rate,End_Rate
Andorra,2020-03-16,8,0.06481553498742579,1.4648310907158228
Austria,2020-03-13,11,0.04031221531591712,0.4054671850750556
Bahrain,2020-03-09,15,0.04813633184090394,0.20351309917546728
Belgium,2020-03-14,10,0.04844302891814844,0.294731200985014
Brunei,2020-03-13,11,0.05769874332137046,0.203099576491224
Denmark,2020-03-11,13,0.04573902835057441,0.24168918389792157
Estonia,2020-03-14,10,0.059593496916225126,0.24591746828720748
Finland,2020-03-16,8,0.04826328107884159,0.11315660657436269
France,2020-03-13,11,0.044158022585323864,0.2459399185576209
Germany,2020-03-15,9,0.04543982608580081,0.2966340583529985
Iceland,2020-03-03,19,0.05014290728576443,1.6724134371193196
Iran,2020-03-06,18,0.04236924985779828,0.2609694928616679
Italy,2020-03-04,20,0.04132117094817802,0.9766792196376306
Liechtenstein,2020-03-12,12,0.07890791446382071,1.209921355111918
Luxembourg,2020-03-13,10,0.0422263690682102,1.2960247121704516
Malta,2020-03-15,9,0.0408745333490776,0.20437266674538798
Monaco,2020-03-15,9,0.0769941484447182,0.5902884714095061
Netherlands,2020-03-14,10,0.04702543643289838,0.2458892223431652
Norway,2020-03-11,13,0.051497929764632154,0.39636673739420847
Qatar,2020-03-12,11,0.09251193562864155,0.1744309015288127
San Marino,2020-03-02,21,0.23626698168930893,4.459539279385706
Slovenia,2020-03-13,11,0.046183732357573705,0.19916734579203657
South Korea,2020-02-29,24,0.05721781116474693,0.17493306238392944
Spain,2020-03-12,12,0.04578835305199486,0.6113387025241107
Sweden,2020-03-12,12,0.04603253822917608,0.18990912957750997
Switzerland,2020-03-10,14,0.04353208133981038,0.8113960936358774
