pred,upper,dagar,aldur,median_tilfelli,upper_tilfelli
6.433120480591598,19.934903329389996,0,0 - 9,0,1
6.433120480591598,19.934903329389996,0,10 - 19,1,3
6.433120480591598,19.934903329389996,0,20 - 29,2,5
6.433120480591598,19.934903329389996,0,30 - 39,2,5
6.433120480591598,19.934903329389996,0,40 - 49,5,8
6.433120480591598,19.934903329389996,0,50 - 59,4,7
6.433120480591598,19.934903329389996,0,60 - 69,3,6
6.433120480591598,19.934903329389996,0,70 - 79,0,2
6.433120480591598,19.934903329389996,0,80+,0,1
7.926688748934479,21.504471190562505,1,0 - 9,0,1
7.926688748934479,21.504471190562505,1,10 - 19,1,3
7.926688748934479,21.504471190562505,1,20 - 29,3,6
7.926688748934479,21.504471190562505,1,30 - 39,2,5
7.926688748934479,21.504471190562505,1,40 - 49,5,9
7.926688748934479,21.504471190562505,1,50 - 59,4,8
7.926688748934479,21.504471190562505,1,60 - 69,4,7
7.926688748934479,21.504471190562505,1,70 - 79,0,2
7.926688748934479,21.504471190562505,1,80+,0,1
9.76372596710988,23.461991746556762,2,0 - 9,0,1
9.76372596710988,23.461991746556762,2,10 - 19,1,3
9.76372596710988,23.461991746556762,2,20 - 29,3,6
9.76372596710988,23.461991746556762,2,30 - 39,3,5
9.76372596710988,23.461991746556762,2,40 - 49,6,10
9.76372596710988,23.461991746556762,2,50 - 59,5,8
9.76372596710988,23.461991746556762,2,60 - 69,4,7
9.76372596710988,23.461991746556762,2,70 - 79,0,2
9.76372596710988,23.461991746556762,2,80+,0,1
12.00395742712053,25.77360666958361,3,0 - 9,0,2
12.00395742712053,25.77360666958361,3,10 - 19,1,4
12.00395742712053,25.77360666958361,3,20 - 29,3,6
12.00395742712053,25.77360666958361,3,30 - 39,3,6
12.00395742712053,25.77360666958361,3,40 - 49,7,10
12.00395742712053,25.77360666958361,3,50 - 59,5,9
12.00395742712053,25.77360666958361,3,60 - 69,4,8
12.00395742712053,25.77360666958361,3,70 - 79,0,2
12.00395742712053,25.77360666958361,3,80+,0,1
14.77290977328089,28.694368480217317,4,0 - 9,0,2
14.77290977328089,28.694368480217317,4,10 - 19,1,4
14.77290977328089,28.694368480217317,4,20 - 29,4,7
14.77290977328089,28.694368480217317,4,30 - 39,3,6
14.77290977328089,28.694368480217317,4,40 - 49,7,11
14.77290977328089,28.694368480217317,4,50 - 59,6,10
14.77290977328089,28.694368480217317,4,60 - 69,5,8
14.77290977328089,28.694368480217317,4,70 - 79,0,2
14.77290977328089,28.694368480217317,4,80+,0,1
18.16280586562731,32.17445058900707,5,0 - 9,0,2
18.16280586562731,32.17445058900707,5,10 - 19,2,4
18.16280586562731,32.17445058900707,5,20 - 29,4,8
18.16280586562731,32.17445058900707,5,30 - 39,4,7
18.16280586562731,32.17445058900707,5,40 - 49,8,13
18.16280586562731,32.17445058900707,5,50 - 59,7,11
18.16280586562731,32.17445058900707,5,60 - 69,5,9
18.16280586562731,32.17445058900707,5,70 - 79,0,2
18.16280586562731,32.17445058900707,5,80+,0,1
22.291122266774952,36.46768310316777,6,0 - 9,0,2
22.291122266774952,36.46768310316777,6,10 - 19,2,5
22.291122266774952,36.46768310316777,6,20 - 29,5,8
22.291122266774952,36.46768310316777,6,30 - 39,4,8
22.291122266774952,36.46768310316777,6,40 - 49,9,14
22.291122266774952,36.46768310316777,6,50 - 59,8,12
22.291122266774952,36.46768310316777,6,60 - 69,6,10
22.291122266774952,36.46768310316777,6,70 - 79,1,2
22.291122266774952,36.46768310316777,6,80+,0,1
27.32385307067385,41.66252809252668,7,0 - 9,0,2
27.32385307067385,41.66252809252668,7,10 - 19,2,5
27.32385307067385,41.66252809252668,7,20 - 29,5,9
27.32385307067385,41.66252809252668,7,30 - 39,5,8
27.32385307067385,41.66252809252668,7,40 - 49,11,16
27.32385307067385,41.66252809252668,7,50 - 59,9,13
27.32385307067385,41.66252809252668,7,60 - 69,7,11
27.32385307067385,41.66252809252668,7,70 - 79,1,2
27.32385307067385,41.66252809252668,7,80+,0,1
33.43008810017731,47.9447892821738,8,0 - 9,0,2
33.43008810017731,47.9447892821738,8,10 - 19,3,6
33.43008810017731,47.9447892821738,8,20 - 29,6,10
33.43008810017731,47.9447892821738,8,30 - 39,5,9
33.43008810017731,47.9447892821738,8,40 - 49,12,18
33.43008810017731,47.9447892821738,8,50 - 59,10,15
33.43008810017731,47.9447892821738,8,60 - 69,8,13
33.43008810017731,47.9447892821738,8,70 - 79,1,3
33.43008810017731,47.9447892821738,8,80+,0,1
40.779522581496956,55.45229847270894,9,0 - 9,1,2
40.779522581496956,55.45229847270894,9,10 - 19,3,6
40.779522581496956,55.45229847270894,9,20 - 29,7,12
40.779522581496956,55.45229847270894,9,30 - 39,6,10
40.779522581496956,55.45229847270894,9,40 - 49,15,20
40.779522581496956,55.45229847270894,9,50 - 59,12,17
40.779522581496956,55.45229847270894,9,60 - 69,9,14
40.779522581496956,55.45229847270894,9,70 - 79,1,3
40.779522581496956,55.45229847270894,9,80+,0,1
49.64855019473216,64.49990610217975,10,0 - 9,1,3
49.64855019473216,64.49990610217975,10,10 - 19,4,7
49.64855019473216,64.49990610217975,10,20 - 29,9,13
49.64855019473216,64.49990610217975,10,30 - 39,7,12
49.64855019473216,64.49990610217975,10,40 - 49,17,23
49.64855019473216,64.49990610217975,10,50 - 59,14,19
49.64855019473216,64.49990610217975,10,60 - 69,11,16
49.64855019473216,64.49990610217975,10,70 - 79,1,3
49.64855019473216,64.49990610217975,10,80+,0,1
60.17778940463372,75.30084057676845,11,0 - 9,1,3
