aldur,tilfelli,p_tilfelli,p_spitali,p_alvarlegt
[0 - 9],3,0.008849557522123894,0.001,0.05
[10 - 19],21,0.061946902654867256,0.003,0.05
[20 - 29],46,0.13569321533923304,0.012,0.05
[30 - 39],56,0.16519174041297935,0.032,0.05
[40 - 49],85,0.25073746312684364,0.049,0.063
[50 - 59],71,0.20943952802359883,0.102,0.122
[60 - 69],48,0.1415929203539823,0.166,0.274
[70 - 79],8,0.02359882005899705,0.243,0.432
80+,1,0.0029498525073746312,0.273,0.709
