continent,country,pop,date,new_cases,new_deaths,total_cases,total_deaths,case_rate,death_rate,days,country_id
Asia,Afghanistan,37172386,2020-05-09,215,3,3778,109,0.1016345843390306,0.028851244044467973,0,1
Asia,Afghanistan,37172386,2020-05-10,255,6,4033,115,0.10849451525656706,0.02851475328539549,1,1
Asia,Afghanistan,37172386,2020-05-11,369,5,4402,120,0.11842123881959044,0.027260336210813266,2,1
Asia,Afghanistan,37172386,2020-05-12,285,2,4687,122,0.12608822043330767,0.026029443140601665,3,1
Asia,Afghanistan,37172386,2020-05-13,280,5,4967,127,0.13362069359766143,0.025568753774914434,4,1
Asia,Afghanistan,37172386,2020-05-14,259,3,5226,130,0.1405882312746887,0.024875621890547265,5,1
Asia,Afghanistan,37172386,2020-05-15,113,6,5339,136,0.14362812223030288,0.025472935006555536,6,1
Asia,Afghanistan,37172386,2020-05-16,1063,32,6402,168,0.17222461856497456,0.026241799437675725,7,1
Europe,Albania,2866376,2020-04-04,27,1,304,17,0.10605726534132297,0.05592105263157895,0,2
Europe,Albania,2866376,2020-04-05,29,2,333,19,0.11617457025875182,0.057057057057057055,1,2
Europe,Albania,2866376,2020-04-06,28,2,361,21,0.12594300259282104,0.05817174515235457,2,2
Europe,Albania,2866376,2020-04-07,16,1,377,22,0.13152496392657487,0.058355437665782495,3,2
Europe,Albania,2866376,2020-04-08,6,0,383,22,0.13361819942673256,0.057441253263707574,4,2
Europe,Albania,2866376,2020-04-09,17,0,400,22,0.13954903334384602,0.055,5,2
Europe,Albania,2866376,2020-04-10,9,1,409,23,0.14268888659408258,0.05623471882640587,6,2
Europe,Albania,2866376,2020-04-11,7,0,416,23,0.14513099467759988,0.055288461538461536,7,2
Europe,Albania,2866376,2020-04-12,17,0,433,23,0.15106182859471332,0.053117782909930716,8,2
Europe,Albania,2866376,2020-04-13,13,0,446,23,0.1555971721783883,0.0515695067264574,9,2
Europe,Albania,2866376,2020-04-14,21,0,467,23,0.16292349642894022,0.04925053533190578,10,2
Europe,Albania,2866376,2020-04-15,8,1,475,24,0.16571447709581716,0.05052631578947368,11,2
Europe,Albania,2866376,2020-04-16,19,1,494,25,0.17234305617964985,0.05060728744939271,12,2
Europe,Albania,2866376,2020-04-17,24,1,518,26,0.1807159981802806,0.05019305019305019,13,2
Europe,Albania,2866376,2020-04-18,21,0,539,26,0.18804232243083252,0.04823747680890538,14,2
Europe,Albania,2866376,2020-04-19,9,0,548,26,0.19118217568106904,0.04744525547445255,15,2
Europe,Albania,2866376,2020-04-20,14,0,562,26,0.19606639184810368,0.046263345195729534,16,2
Europe,Albania,2866376,2020-04-21,22,0,584,26,0.2037415886820152,0.04452054794520548,17,2
Europe,Albania,2866376,2020-04-22,25,0,609,26,0.21246340326600557,0.042692939244663386,18,2
Europe,Albania,2866376,2020-04-23,25,1,634,27,0.22118521784999595,0.04258675078864353,19,2
Europe,Albania,2866376,2020-04-24,29,0,663,27,0.2313025227674248,0.04072398190045249,20,2
Europe,Albania,2866376,2020-04-25,15,0,678,27,0.23653561151781902,0.03982300884955752,21,2
Europe,Albania,2866376,2020-04-26,34,0,712,27,0.24839727935204592,0.037921348314606744,22,2
Europe,Albania,2866376,2020-04-27,14,1,726,28,0.2532814955190805,0.03856749311294766,23,2
Europe,Albania,2866376,2020-04-28,10,0,736,28,0.2567702213526767,0.03804347826086957,24,2
Europe,Albania,2866376,2020-04-29,14,2,750,30,0.26165443751971135,0.04,25,2
Europe,Albania,2866376,2020-04-30,16,1,766,31,0.2672363988534651,0.04046997389033943,26,2
Europe,Albania,2866376,2020-05-01,7,0,773,31,0.2696785069369824,0.040103492884864166,27,2
Europe,Albania,2866376,2020-05-02,9,0,782,31,0.272818360187219,0.03964194373401535,28,2
Europe,Albania,2866376,2020-05-03,7,0,789,31,0.2752604682707363,0.03929024081115336,29,2
