country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-03-19,10,0.020479590352655074,0.06456277636599735
Andorra,2020-03-14,14,0.025926213994970315,3.4611495683285374
Armenia,2020-03-18,11,0.02637156658262702,0.12577208677868273
Aruba,2020-03-20,6,0.03762439565814474,0.26337076960701317
Australia,2020-03-19,10,0.022417789996333006,0.13403060992497856
Austria,2020-03-11,18,0.020323609937664584,0.8595100312648588
Bahrain,2020-02-27,30,0.020107581655061137,0.2839434257957118
Barbados,2020-03-21,8,0.02090410243010191,0.08361640972040764
Belgium,2020-03-10,19,0.020711778016882787,0.6312325986400594
Bermuda,2020-03-20,9,0.031996928294883695,0.2719738905065114
Bosnia And Herzegovina,2020-03-22,7,0.027870342320508938,0.06937291729778855
Bulgaria,2020-03-22,7,0.023285318435300885,0.041856431297810796
Canada,2020-03-20,9,0.02261364136641244,0.12533731012660512
Cayman Islands,2020-03-21,8,0.046190798792880454,0.12317546344768122
Chile,2020-03-21,8,0.022899911872274636,0.084951285977793
Costa Rica,2020-03-21,8,0.022387049903904083,0.05210437278519269
Croatia,2020-03-20,9,0.025179744638651295,0.14187817652163134
Cyprus,2020-03-16,13,0.025433406440247178,0.13734039477733478
Czech Republic,2020-03-15,14,0.020020190455626793,0.21320567312324046
Denmark,2020-03-11,18,0.04573902835057441,0.35447746971695165
Dominican Republic,2020-03-24,5,0.022814131501398924,0.05410208327474603
Ecuador,2020-03-21,8,0.02451987381819676,0.09364749930095335
Estonia,2020-03-13,16,0.020367397680228837,0.4337501357826512
Finland,2020-03-13,15,0.028018009615057852,0.18528038616409226
France,2020-03-10,19,0.021679808028677777,0.5061283228451376
French Polynesia,2020-03-21,8,0.05370819264770649,0.10741638529541297
Germany,2020-03-13,16,0.028365467192954446,0.5817016155205204
Greece,2020-03-15,14,0.021769320630107256,0.09223317424861233
Greenland,2020-03-20,9,0.035290796160361376,0.15880858272162618
Iceland,2020-03-02,26,0.029495827815155546,2.840448218599479
Iran,2020-03-04,25,0.028173802353491827,0.3899466514097165
Ireland,2020-03-15,14,0.026420917993771626,0.434409047013873
Isle Of Man,2020-03-22,7,0.02364513383145749,0.3428544405561335
Israel,2020-03-15,14,0.020893546558627466,0.3562467067721032
Italy,2020-03-02,27,0.02789426767844631,1.428536628567347
Kuwait,2020-03-14,15,0.023769438349564295,0.05348123628651966
Latvia,2020-03-18,11,0.03199172620536695,0.14684726782791388
Lebanon,2020-03-20,9,0.021733698595609238,0.05703272584485377
Liechtenstein,2020-03-05,18,0.026302638154606907,1.5781582892764145
Lithuania,2020-03-21,8,0.025003379079853907,0.12972767696503912
Luxembourg,2020-03-13,15,0.0422263690682102,2.606666244402976
Malaysia,2020-03-18,11,0.021064309775933647,0.06763740479315396
Maldives,2020-03-16,13,0.02448427638604547,0.026367682261895124
Malta,2020-03-13,16,0.0204372666745388,0.3156422297512103
Mauritius,2020-03-23,6,0.023361074609432035,0.07842646476023611
Moldova,2020-03-23,6,0.023248549500737396,0.049217673943050454
Monaco,2020-02-29,17,0.0256647161482394,1.0779180782260547
Montenegro,2020-03-20,9,0.020701065467915735,0.11942922385336002
Netherlands,2020-03-11,18,0.022342931240506448,0.5031838677017721
New Caledonia,2020-03-24,5,0.02475685234305924,0.05305039787798409
New Zealand,2020-03-23,6,0.021325247022671457,0.08697355648462085
North Macedonia,2020-03-19,10,0.020158784022147783,0.1051136595440563
Norway,2020-03-07,22,0.02100818073430842,0.6657548248633492
Panama,2020-03-18,11,0.02025226313153209,0.18509626536493282
Portugal,2020-03-16,13,0.023958098947339808,0.4173598624785563
Romania,2020-03-23,6,0.022360439229257865,0.06671983252702347
San Marino,2020-02-28,29,0.029533372711163616,6.5859421145894865
Serbia,2020-03-23,6,0.021431254406659193,0.052096187573634316
Seychelles,2020-03-15,14,0.02046266075977859,0.07161931265922508
Singapore,2020-03-06,23,0.020157340967624726,0.12611259477180597
Slovakia,2020-03-20,9,0.022539803368619427,0.05405887799790838
Slovenia,2020-03-12,17,0.027421591087309384,0.3040429046873602
South Korea,2020-02-26,32,0.022371754211804835,0.18502572985993562
Spain,2020-03-10,19,0.02576129769841206,1.3706336954008125
Sweden,2020-03-09,20,0.020226418312819794,0.3034959122209315
Switzerland,2020-03-07,22,0.02432675133695286,1.4088564506338632
Trinidad And Tobago,2020-03-22,7,0.035126127889213626,0.04731274368751223
United Arab Emirates,2020-03-24,5,0.020265023521244346,0.041451184475272525
United Kingdom,2020-03-16,13,0.02059820016451313,0.21535558949857256
United States,2020-03-19,10,0.02861137579123939,0.31813175635493224
Uruguay,2020-03-19,10,0.022820933093068384,0.0687516718500035
