country,First,Days_In_Data,Start_Rate,End_Rate
Armenia,2020-03-27,9,0.1112339154574909,0.24883939749760883
Aruba,2020-03-24,11,0.11287318697443423,0.5831781327012435
Australia,2020-03-26,10,0.11105733486678952,0.22013079451266462
Austria,2020-03-17,19,0.1134548774542155,1.2869758490746392
Bahrain,2020-03-14,22,0.1279573378049345,0.3917931819455852
Barbados,2020-03-30,6,0.1149725633655605,0.1567807682257643
Belgium,2020-03-18,18,0.10771857771960378,1.4532908675444534
Bosnia And Herzegovina,2020-03-31,5,0.10693729172977885,0.17752196304150256
Canada,2020-03-27,9,0.10740143145419052,0.3346337780923373
Chile,2020-03-29,7,0.10072795337366884,0.1971819600614984
Croatia,2020-03-26,10,0.10120320441304079,0.2612398506260072
Cyprus,2020-03-25,11,0.10512474661968833,0.33572096501126275
Czech Republic,2020-03-23,13,0.10898842000376267,0.3919841028461507
Denmark,2020-03-13,23,0.11711963320071324,0.6509148845193486
Ecuador,2020-03-29,7,0.10561964426382878,0.19385665497579035
Estonia,2020-03-16,20,0.1289935186414493,0.7249284878037006
Finland,2020-03-23,13,0.11315660657436269,0.2919295840536673
France,2020-03-17,19,0.10184289423103379,0.9878438307004752
French Polynesia,2020-03-27,9,0.10741638529541297,0.13964130088403684
Germany,2020-03-20,16,0.1692828092756395,0.9542483214055287
Greece,2020-03-29,7,0.10130372451115702,0.15400839551036408
Guam,2020-03-23,13,0.16139251856013964,0.5200425598048943
Iceland,2020-03-05,30,0.10913456291607551,4.179558801407541
Iran,2020-03-12,24,0.10854632756054214,0.6086795621472713
Ireland,2020-03-20,16,0.1140810180041147,0.8751673068789625
Israel,2020-03-22,14,0.10364607646779805,0.8718947406600271
Italy,2020-03-09,27,0.12180001428569659,1.9789736016016493
Latvia,2020-03-25,11,0.10331754200749656,0.2585560822827198
Lithuania,2020-03-27,9,0.10834797601270027,0.279385583631411
Luxembourg,2020-03-16,20,0.1250550160866225,4.242126000237118
Malta,2020-03-19,17,0.10899875559754027,0.4587030964729819
Mauritius,2020-03-31,5,0.10679348392883216,0.15518428133408424
Montenegro,2020-03-27,9,0.10669010664233494,0.27707579933979526
Netherlands,2020-03-19,17,0.11996165438292859,0.9196280311373897
New Zealand,2020-03-30,6,0.11540721918151611,0.17227454457530667
North Macedonia,2020-03-28,8,0.1051136595440563,0.2063875507029416
Norway,2020-03-13,23,0.11545203748677461,0.9682354448166218
Panama,2020-03-25,11,0.10432270427056646,0.3939771653378278
Portugal,2020-03-22,14,0.1251688434799794,0.9667337395649034
Qatar,2020-03-14,22,0.11299167710368434,0.3350909424106139
Romania,2020-03-31,5,0.10080271911203546,0.16437246666680783
Singapore,2020-03-27,9,0.10233726952794092,0.19192545160627303
Slovenia,2020-03-16,20,0.10535663944071501,0.44932922939556075
Spain,2020-03-15,21,0.12309364257389085,2.518573382126315
Sweden,2020-03-16,20,0.10282592955088683,0.6055968990409788
Switzerland,2020-03-14,22,0.1304798480800199,2.293698382038244
Turkey,2020-03-30,6,0.11047635782569534,0.2507622742835383
United Kingdom,2020-03-25,11,0.11960579635425778,0.5651992119907528
United States,2020-03-23,13,0.10698800808352353,0.8447117442179349
