country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,30,0.10552195707130752,0.2738711320041501
Armenia,2020-03-27,38,0.1112339154574909,0.768494497978349
Australia,2020-03-26,39,0.11105733486678952,0.26913251246925096
Austria,2020-03-17,48,0.1134548774542155,1.73733364511091
Azerbaijan,2020-04-12,22,0.10529754119293555,0.1885005132508695
Bahamas,2020-04-09,25,0.1027005099080317,0.21310355805916578
Bahrain,2020-03-14,51,0.1279573378049345,2.0010090350066903
Barbados,2020-03-30,35,0.1149725633655605,0.28220538280637575
Belarus,2020-04-09,25,0.11277546014450704,1.6744934176053072
Belgium,2020-03-18,47,0.10771857771960378,4.29115109649366
Bosnia And Herzegovina,2020-03-31,34,0.10693729172977885,0.557103907906695
Brazil,2020-04-13,21,0.10504169478664598,0.457518201403029
Bulgaria,2020-04-15,19,0.1018554113151505,0.22771041463723687
Canada,2020-03-27,38,0.10740143145419052,1.5159693338708216
Cape Verde,2020-04-16,18,0.10001181957867748,0.2763963013810723
Chile,2020-03-29,36,0.10072795337366884,0.9727186068326794
Colombia,2020-04-26,8,0.10214654143074249,0.14471753292939696
Costa Rica,2020-04-10,24,0.10678424688676373,0.14521865114656365
Croatia,2020-03-26,39,0.10120320441304079,0.5055317962067684
Cuba,2020-04-22,12,0.10032220456853379,0.14214518167098322
Cyprus,2020-03-25,40,0.10512474661968833,0.7324821054791187
Denmark,2020-03-13,52,0.11711963320071324,1.6297993927797478
Djibouti,2020-04-08,26,0.1242861251489379,1.1421997616993302
Dominican Republic,2020-04-01,33,0.10326886463286289,0.7056550551738818
Ecuador,2020-03-29,36,0.10561964426382878,1.5807836022135113
Equatorial Guinea,2020-04-25,9,0.15634379705985166,0.2323032833672324
Estonia,2020-03-16,49,0.1289935186414493,1.2816373577299554
Finland,2020-03-23,42,0.11315660657436269,0.9361630438476428
France,2020-03-17,48,0.10184289423103379,2.011047858206931
French Polynesia,2020-03-27,38,0.10741638529541297,0.2076716782377984
Georgia,2020-04-21,13,0.10058134516290049,0.14561776837016938
Germany,2020-03-20,45,0.1692828092756395,1.945662708732092
Greece,2020-03-29,36,0.10130372451115702,0.2501562282933378
Hungary,2020-04-09,25,0.10119075707103972,0.3095611119377317
Iceland,2020-03-05,59,0.10913456291607551,5.3062994239464825
Iran,2020-03-12,53,0.10854632756054214,1.1632306889510187
Ireland,2020-03-20,45,0.1140810180041147,4.33712681733417
Israel,2020-03-22,43,0.10364607646779805,1.8997868036594694
Italy,2020-03-09,56,0.12180001428569659,3.4571055444605148
Jamaica,2020-04-26,8,0.10345018229278845,0.15704076852970836
Japan,2020-04-25,9,0.1016235961792334,0.11697118706978317
Kazakhstan,2020-04-21,13,0.1050593035241979,0.20898661865742188
Kuwait,2020-04-05,29,0.11385560969441297,1.0979103573663747
Kyrgyzstan,2020-04-24,10,0.10224677946024299,0.12391187449831279
Latvia,2020-03-25,40,0.10331754200749656,0.45679989385040354
Lebanon,2020-04-24,10,0.10035425928710844,0.10691812799048035
Lithuania,2020-03-27,37,0.10834797601270027,0.525070960676932
Luxembourg,2020-03-16,49,0.1250550160866225,6.19103534184682
Malaysia,2020-04-04,30,0.10431997694381404,0.19330338361986063
Maldives,2020-04-21,13,0.12995500543362595,0.9774876495659691
Malta,2020-03-19,46,0.10899875559754027,1.0604670596677355
Mauritius,2020-03-31,34,0.10679348392883216,0.27866424712679644
Mexico,2020-04-25,9,0.10089709288996951,0.17313665224935104
Moldova,2020-04-02,32,0.1046184727533183,1.0021608784785951
Montenegro,2020-03-27,38,0.10669010664233494,0.5127494677437591
Morocco,2020-04-25,9,0.10303859952611567,0.1296619311226719
Netherlands,2020-03-19,46,0.11996165438292859,2.3533774382016164
New Zealand,2020-03-30,35,0.11540721918151611,0.2375047119387723
North Macedonia,2020-03-28,37,0.1051136595440563,0.722836398508442
Norway,2020-03-13,52,0.11545203748677461,1.4424997727212305
Oman,2020-04-12,22,0.10974905256014791,0.49909688188067264
Panama,2020-03-25,40,0.10432270427056646,1.6696342511925875
Peru,2020-04-09,25,0.13355704394521972,1.3083176663210445
Poland,2020-04-06,28,0.10826713254789778,0.35301630858803823
Portugal,2020-03-22,42,0.1251688434799794,2.479027618016373
Puerto Rico,2020-04-03,31,0.10772453064831078,0.5989620264211456
Qatar,2020-03-14,51,0.11299167710368434,5.251288193393729
Romania,2020-03-31,34,0.10080271911203546,0.6574898666672313
Russia,2020-04-13,21,0.10810828894015323,0.8504290219519193
Saudi Arabia,2020-04-11,23,0.10654090540451577,0.7429265709924862
Serbia,2020-04-01,33,0.10259643067017699,1.0672308710379967
Singapore,2020-03-27,38,0.10233726952794092,3.023256575212639
Slovakia,2020-04-08,26,0.10646850209079584,0.25783336048493927
Slovenia,2020-03-16,49,0.10535663944071501,0.6922749048182141
Spain,2020-03-15,48,0.12309364257389085,4.6340808788351175
Sweden,2020-03-16,49,0.10282592955088683,2.2001959073088013
Switzerland,2020-03-14,51,0.1304798480800199,3.4609168624543365
Turkey,2020-03-30,35,0.11047635782569534,1.4907775853933882
Ukraine,2020-04-17,17,0.10142375586215444,0.2593784128514218
United Arab Emirates,2020-04-03,31,0.10480497013007177,1.3918386609363729
United Kingdom,2020-03-25,40,0.11960579635425778,2.698941741182001
United States,2020-03-23,42,0.10698800808352353,3.443299304981819
Uruguay,2020-04-03,31,0.10370525291660192,0.1883449161605138
