country,First,Days_In_Data,Start_Rate,End_Rate
Austria,2020-03-22,23,0.33768459588735,1.5563195148419304
Bahrain,2020-03-30,15,0.30466032810698696,0.6921882654590744
Belgium,2020-03-24,21,0.3243689753857417,2.5692137358431966
Canada,2020-04-03,11,0.30119445734838696,0.6512782173671857
Cyprus,2020-04-03,11,0.30180975642426655,0.5366448758892155
Denmark,2020-03-27,18,0.3251975614167733,1.0696695493804786
Estonia,2020-03-26,19,0.3047566171412019,0.9874416134599833
Finland,2020-04-05,9,0.34019286513250896,0.5375842619044005
France,2020-03-24,21,0.3048684619103583,1.464814961303078
Germany,2020-03-24,21,0.3497729116254053,1.4729448341952232
Iceland,2020-03-11,33,0.31265577484064877,5.046736139173113
Iran,2020-03-26,19,0.32584401463368523,0.8645835597227804
Ireland,2020-03-26,19,0.3203280290097583,1.9774725831772484
Israel,2020-03-27,18,0.31293368047921816,1.3081942494151861
Italy,2020-03-15,30,0.3494132748803367,2.582375001187034
Lithuania,2020-04-07,7,0.30547606614951944,0.38483461714209927
Luxembourg,2020-03-19,26,0.3410591347816978,5.328642958184526
Malta,2020-03-27,18,0.3042881927097999,0.8583652003306295
Montenegro,2020-04-05,9,0.32007031992700485,0.4331299851748523
Netherlands,2020-03-25,20,0.3252007793120834,1.4965669676723519
Norway,2020-03-21,24,0.3238606268952679,1.1926325611556507
Panama,2020-04-02,12,0.31014221563055544,0.8006708679908036
Portugal,2020-03-27,18,0.34656123538519296,1.6218166164964516
Qatar,2020-04-03,11,0.3350909424106139,1.0518818940371115
Slovenia,2020-03-28,17,0.3040429046873602,0.5797020571966282
Spain,2020-03-20,25,0.36688452793577375,3.552213357635109
Sweden,2020-03-28,17,0.3034959122209315,1.0445002126763048
Switzerland,2020-03-18,27,0.3084492394398329,2.935505591951919
Turkey,2020-04-06,8,0.324453133338803,0.682683241436509
United Kingdom,2020-03-31,14,0.32786826013118997,1.2480199221171833
United States,2020-03-28,17,0.31813175635493224,1.6944103463937483
