country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-03-19,12,0.020479590352655074,0.07358768058920129
Armenia,2020-03-18,13,0.02637156658262702,0.14335313116710074
Australia,2020-03-19,12,0.022417789996333006,0.16240002558405486
Austria,2020-03-11,20,0.020323609937664584,0.98413172736614285
Bahrain,2020-02-27,32,0.020107581655061137,0.30466032810698696
Belgium,2020-03-10,21,0.020711778016882787,0.9390494836441082
Cyprus,2020-03-16,15,0.025433406440247178,0.18142496594042987
Czech Republic,2020-03-15,16,0.020020190455626793,0.2646594336400383
Denmark,2020-03-11,20,0.04573902835057441,0.41494307916524886
Estonia,2020-03-13,18,0.020367397680228837,0.5122023342546437
Finland,2020-03-13,17,0.028018009615057852,0.22016732716864817
France,2020-03-10,21,0.021679808028677777,0.6168304587422813
Germany,2020-03-13,18,0.028365467192954446,0.6860635454714664
Greece,2020-03-15,16,0.021769320630107256,0.1103742747737017
Iceland,2020-03-02,29,0.029495827815155546,3.3477764570201547
Iran,2020-03-04,27,0.028173802353491827,0.46203347361297875
Ireland,2020-03-15,16,0.026420917993771626,0.5355868259977736
Israel,2020-03-15,16,0.020893546558627466,0.49851063053084754
Italy,2020-03-02,29,0.02789426767844631,1.6133588604142934
Kuwait,2020-03-14,17,0.023769438349564295,0.06061206779138895
Latvia,2020-03-18,13,0.03199172620536695,0.19719490251177008
Luxembourg,2020-03-13,17,0.0422263690682102,3.1669776801157656
Malaysia,2020-03-18,13,0.021064309775933647,0.07730883379874608
Maldives,2020-03-16,15,0.02448427638604547,0.032017899889444076
Netherlands,2020-03-11,20,0.022342931240506448,0.6355452640296939
North Macedonia,2020-03-19,12,0.020158784022147783,0.12431250146991134
Norway,2020-03-07,24,0.02100818073430842,0.76261555196578
Panama,2020-03-18,13,0.02025226313153209,0.23290102601261906
Portugal,2020-03-16,15,0.023958098947339808,0.5830130037715915
Singapore,2020-03-06,25,0.020157340967624726,0.14540851091175444
Slovenia,2020-03-12,19,0.027421591087309384,0.3511887981357167
South Korea,2020-02-26,34,0.022371754211804835,0.1885981827576322
Spain,2020-03-10,21,0.02576129769841206,1.6859742315131023
Sweden,2020-03-09,22,0.020226418312819794,0.36865885594794695
Switzerland,2020-03-07,24,0.02432675133695286,1.6614356391562923
United Kingdom,2020-03-16,15,0.02059820016451313,0.289085595694914
United States,2020-03-19,12,0.02861137579123939,0.4346406821605963
Uruguay,2020-03-19,12,0.022820933093068384,0.08926162437668521
