country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,42,0.10552195707130752,0.3117063074014281
Algeria,2020-05-04,12,0.10391829578454527,0.14962933872240516
Argentina,2020-05-02,14,0.10091406166101509,0.15901948065680202
Armenia,2020-03-27,50,0.1112339154574909,1.305054448832568
Aruba,2020-03-24,52,0.11287318697443423,0.9500159903681547
Australia,2020-03-26,51,0.11105733486678952,0.27730607837941834
Austria,2020-03-17,60,0.1134548774542155,1.7872493244633059
Azerbaijan,2020-04-12,34,0.10529754119293555,0.2865327231516649
Bahamas,2020-04-09,37,0.1027005099080317,0.2464812237792761
Bahrain,2020-03-14,63,0.1279573378049345,3.77656942721421
Barbados,2020-03-30,47,0.1149725633655605,0.29614145109311035
Belarus,2020-04-09,37,0.11277546014450704,2.832293263591691
Belgium,2020-03-18,59,0.10771857771960378,4.704606715399718
Bolivia,2020-05-01,15,0.1013627954243427,0.2928837585011856
Bosnia And Herzegovina,2020-03-31,46,0.10693729172977885,0.6713117237200847
Brazil,2020-04-13,33,0.10504169478664598,0.9614710010698104
Bulgaria,2020-04-15,31,0.1018554113151505,0.29999490008669855
Canada,2020-03-27,50,0.10740143145419052,1.9620140542979188
Cape Verde,2020-04-16,30,0.10001181957867748,0.5727949666778802
Chile,2020-03-29,48,0.10072795337366884,1.9544072252282314
Colombia,2020-04-26,20,0.10214654143074249,0.2703645330362515
Congo,2020-05-01,15,0.10630966444060673,0.24124116161522294
Costa Rica,2020-04-10,36,0.10678424688676373,0.16443585327646362
Croatia,2020-03-26,51,0.10120320441304079,0.5377328157927358
Cuba,2020-04-22,24,0.10032220456853379,0.16146845590186176
Cyprus,2020-03-25,52,0.10512474661968833,0.7689366547101397
Denmark,2020-03-13,64,0.11711963320071324,1.8560689799988774
Djibouti,2020-04-08,38,0.1242861251489379,1.3188709478614569
Dominican Republic,2020-04-01,45,0.10326886463286289,1.0541059942687179
Ecuador,2020-03-29,45,0.10561964426382878,1.8350190075068804
El Salvador,2020-05-07,9,0.10769261521521556,0.18749361785670624
Equatorial Guinea,2020-04-25,21,0.15634379705985166,0.43805762006392396
Estonia,2020-03-16,61,0.1289935186414493,1.3261438934015666
Eswatini,2020-05-05,11,0.10103385505125727,0.16287354219469918
Finland,2020-03-23,54,0.11315660657436269,1.1107785102227774
France,2020-03-17,60,0.10184289423103379,2.170376022451683
French Polynesia,2020-03-27,50,0.10741638529541297,0.21483277059082595
Gabon,2020-04-29,17,0.10954722474994005,0.5081518324535035
Georgia,2020-04-21,25,0.10058134516290049,0.16688496821804635
Germany,2020-03-20,57,0.1692828092756395,2.0732534298836844
Ghana,2020-05-07,9,0.10720121286155135,0.19178994083609802
Greece,2020-03-29,48,0.10130372451115702,0.26447814976051365
Grenada,2020-04-04,42,0.10713998732176817,0.1874949778130943
Guam,2020-03-23,54,0.16139251856013964,0.9205351058615372
Guinea,2020-04-30,16,0.1057845099843821,0.19363811487148552
Guyana,2020-05-01,15,0.10475672167672076,0.14435987255450544
Honduras,2020-05-03,13,0.10363101530589054,0.23783831037530126
Hungary,2020-04-09,37,0.10119075707103972,0.35282532337932937
Iceland,2020-03-05,70,0.10913456291607551,5.315148172291029
Iran,2020-03-12,65,0.10854632756054214,1.381348503832397
Ireland,2020-03-20,57,0.1140810180041147,4.880086922772067
Israel,2020-03-22,55,0.10364607646779805,1.946034316828566
Italy,2020-03-09,68,0.12180001428569659,3.684487591468714
Jamaica,2020-04-26,20,0.10345018229278845,0.17264309110501416
Japan,2020-04-25,21,0.1016235961792334,0.12764434478206071
Kazakhstan,2020-04-21,25,0.1050593035241979,0.30030034886265083
Kuwait,2020-04-05,41,0.11385560969441297,2.8463902423603242
Kyrgyzstan,2020-04-24,22,0.10224677946024299,0.1731648963114786
Latvia,2020-03-25,52,0.10331754200749656,0.5045252558944756
Lebanon,2020-04-24,22,0.10035425928710844,0.12923528158194486
Lithuania,2020-03-27,49,0.10834797601270027,0.5475377650675255
Luxembourg,2020-03-16,61,0.1250550160866225,6.358316727001652
Malaysia,2020-04-04,42,0.10431997694381404,0.21342871970593097
Maldives,2020-04-21,25,0.12995500543362595,1.8495045700843578
Malta,2020-03-18,59,0.10899875559754027,1.1853614671232502
Mauritius,2020-03-31,46,0.10679348392883216,0.27699559894040837
Mexico,2020-04-25,21,0.10089709288996951,0.3338806457153707
Moldova,2020-04-02,44,0.1046184727533183,1.3733956955063273
Montenegro,2020-03-27,50,0.10669010664233494,0.5159342470465154
Morocco,2020-04-25,21,0.10303859952611567,0.181153812418586
Netherlands,2020-03-19,58,0.11996165438292859,2.543175375048327
New Zealand,2020-03-30,47,0.11540721918151611,0.24001356452967482
North Macedonia,2020-03-28,49,0.1051136595440563,0.8269901159562055
Norway,2020-03-13,64,0.11545203748677461,1.5198396239201004
Oman,2020-04-12,34,0.10974905256014791,0.8725652695304067
Pakistan,2020-05-06,10,0.10412562920162498,0.17185577240026956
Palestine,2020-04-30,16,0.10177820782026009,0.11000879267357501
Panama,2020-03-25,52,0.10432270427056646,2.1472108748059258
Peru,2020-04-09,37,0.13355704394521972,2.479325649507252
Poland,2020-04-06,40,0.10826713254789778,0.46492577762828363
Portugal,2020-03-22,54,0.1251688434799794,2.7692628738355753
Puerto Rico,2020-04-03,43,0.10772453064831078,0.82736530342864
Qatar,2020-03-14,63,0.11299167710368434,9.98281467211051
Romania,2020-03-31,46,0.10080271911203546,0.8390070581010451
Russia,2020-04-13,33,0.10810828894015323,1.7292184745535162
Saint Vincent And The Grenadines,2020-04-10,36,0.10850988796354068,0.1537223412816826
Saudi Arabia,2020-04-11,35,0.10654090540451577,1.367698081458299
Serbia,2020-04-01,45,0.10259643067017699,1.1825948575249068
Singapore,2020-03-27,50,0.10233726952794092,4.496293030539061
Slovakia,2020-04-08,38,0.10646850209079584,0.2706608908573243
