country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,22,0.10552195707130752,0.23534173320508714
Armenia,2020-03-27,30,0.1112339154574909,0.5669886815264809
Australia,2020-03-26,31,0.11105733486678952,0.2653234720450952
Austria,2020-03-17,40,0.1134548774542155,1.6826162337402746
Azerbaijan,2020-04-12,14,0.10529754119293555,0.15844393722037184
Bahamas,2020-04-09,17,0.1027005099080317,0.18742843058215783
Bahrain,2020-03-14,43,0.1279573378049345,1.5342694123467864
Barbados,2020-03-30,27,0.1149725633655605,0.2647852974479575
Belarus,2020-04-09,17,0.11277546014450704,0.9281229942286682
Belgium,2020-03-18,39,0.10771857771960378,3.838438425530499
Bosnia And Herzegovina,2020-03-31,26,0.10693729172977885,0.43017267494698574
Brazil,2020-04-13,13,0.10504169478664598,0.2511021974477109
Bulgaria,2020-04-15,11,0.1018554113151505,0.16971140062047518
Canada,2020-03-27,30,0.10740143145419052,1.1728353927116768
Cape Verde,2020-04-16,10,0.10001181957867748,0.16001891132588397
Chile,2020-03-29,28,0.10072795337366884,0.6493233076041742
Costa Rica,2020-04-10,16,0.10678424688676373,0.13610533879630182
Croatia,2020-03-26,31,0.10120320441304079,0.48640487479856204
Cyprus,2020-03-25,32,0.10512474661968833,0.6816152925986244
Denmark,2020-03-13,44,0.11711963320071324,1.4224144801447571
Djibouti,2020-04-08,18,0.1242861251489379,1.0261309010230495
Dominican Republic,2020-04-01,25,0.10326886463286289,0.5353405795981323
Ecuador,2020-03-29,28,0.10561964426382878,0.6436754669222873
Estonia,2020-03-16,41,0.1289935186414493,1.21072863988027
Finland,2020-03-23,34,0.11315660657436269,0.7944461436011565
France,2020-03-17,40,0.10184289423103379,1.8820437880532834
French Polynesia,2020-03-27,30,0.10741638529541297,0.20409113206128462
Germany,2020-03-20,37,0.1692828092756395,1.82523220260008
Greece,2020-03-29,28,0.10130372451115702,0.23774389635511872
Hungary,2020-04-09,17,0.10119075707103972,0.25225410155566336
Iceland,2020-03-05,51,0.10913456291607551,5.279753178912843
Iran,2020-03-12,45,0.10854632756054214,1.0636816458749392
Ireland,2020-03-20,37,0.1140810180041147,3.7243253705328936
Israel,2020-03-22,35,0.10364607646779805,1.767500135279845
Italy,2020-03-09,48,0.12180001428569659,3.1873453501089797
Kuwait,2020-04-05,21,0.11385560969441297,0.6213331184576106
Latvia,2020-03-25,32,0.10331754200749656,0.4111723499181589
Lithuania,2020-03-27,30,0.10834797601270027,0.5109386159796234
Luxembourg,2020-03-16,41,0.1250550160866225,6.001016681039873
Malaysia,2020-04-04,22,0.10431997694381404,0.1781233089670704
Malta,2020-03-19,38,0.10899875559754027,1.0150509115020936
Mauritius,2020-03-31,26,0.10679348392883216,0.2761612748472144
Moldova,2020-04-02,24,0.1046184727533183,0.7691807334818438
Montenegro,2020-03-27,30,0.10669010664233494,0.5079722987896247
Netherlands,2020-03-19,38,0.11996165438292859,2.136908358303411
New Zealand,2020-03-30,27,0.11540721918151611,0.23353236200317662
North Macedonia,2020-03-28,29,0.1051136595440563,0.6364416098420943
Norway,2020-03-13,44,0.11545203748677461,1.3772442732721841
Oman,2020-04-12,14,0.10974905256014791,0.359800007477408
Panama,2020-03-25,32,0.10432270427056646,1.2570532627455615
Peru,2020-04-09,17,0.13355704394521972,0.6658781407936702
Poland,2020-04-06,20,0.10826713254789778,0.28748064546847946
Portugal,2020-03-22,35,0.1251688434799794,2.2292766600102265
Puerto Rico,2020-04-03,23,0.10772453064831078,0.48271498543673436
Qatar,2020-03-14,43,0.11299167710368434,3.010168897840341
Romania,2020-03-31,26,0.10080271911203546,0.5379415599334393
Russia,2020-04-13,13,0.10810828894015323,0.47042530143634714
Saudi Arabia,2020-04-11,15,0.10654090540451577,0.44069590616789844
Serbia,2020-04-01,25,0.10259643067017699,0.8530323230054826
Singapore,2020-03-27,30,0.10233726952794092,1.92580134475307
Slovakia,2020-04-08,18,0.10646850209079584,0.2492205900920522
Slovenia,2020-03-16,41,0.10535663944071501,0.6605235888223823
Spain,2020-03-15,42,0.12309364257389085,4.702164308466634
Sweden,2020-03-16,41,0.10282592955088683,1.7503324655236716
Switzerland,2020-03-14,43,0.1304798480800199,3.328341887464914
Turkey,2020-03-30,27,0.11047635782569534,1.2574911199098786
Ukraine,2020-04-17,9,0.10142375586215444,0.18468579479605665
United Arab Emirates,2020-04-03,23,0.10480497013007177,0.949897390407418
United Kingdom,2020-03-25,32,0.11960579635425778,2.124442982316112
United States,2020-03-23,34,0.10698800808352353,2.706225896454346
Uruguay,2020-04-03,23,0.10370525291660192,0.16263525735946205
