country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,28,0.10552195707130752,0.26831734478987074
Armenia,2020-03-27,36,0.1112339154574909,0.6985084174321465
Australia,2020-03-26,37,0.11105733486678952,0.26829928487646687
Austria,2020-03-17,46,0.1134548774542155,1.7260551582773709
Azerbaijan,2020-04-12,20,0.10529754119293555,0.17954325549343642
Bahamas,2020-04-09,23,0.1027005099080317,0.20796853256376419
Bahrain,2020-03-14,49,0.1279573378049345,1.8523347948904807
Barbados,2020-03-30,33,0.1149725633655605,0.28220538280637575
Belarus,2020-04-09,23,0.11277546014450704,1.4839600182429646
Belgium,2020-03-18,45,0.10771857771960378,4.204664257745338
Bosnia And Herzegovina,2020-03-31,32,0.10693729172977885,0.511663132384126
Brazil,2020-04-13,19,0.10504169478664598,0.4045495918121626
Bulgaria,2020-04-15,17,0.1018554113151505,0.21513919977646093
Canada,2020-03-27,36,0.10740143145419052,1.4230021415866816
Cape Verde,2020-04-16,16,0.10001181957867748,0.22002600307309045
Chile,2020-03-29,34,0.10072795337366884,0.8454499721876876
Costa Rica,2020-04-10,22,0.10678424688676373,0.14244503434431005
Croatia,2020-03-26,37,0.10120320441304079,0.5026264410561547
Cuba,2020-04-22,10,0.10032220456853379,0.1324394274910899
Cyprus,2020-03-25,38,0.10512474661968833,0.7206131824736701
Denmark,2020-03-13,50,0.11711963320071324,1.5866591728581834
Djibouti,2020-04-08,24,0.1242861251489379,1.1185751263404413
Dominican Republic,2020-04-01,31,0.10326886463286289,0.6492249992969522
Ecuador,2020-03-29,34,0.10561964426382878,1.4351608774246905
Equatorial Guinea,2020-04-25,7,0.15634379705985166,0.2323032833672324
Estonia,2020-03-16,47,0.1289935186414493,1.2740938771076484
Finland,2020-03-23,40,0.11315660657436269,0.9029029550142837
France,2020-03-17,46,0.10184289423103379,1.989583005781937
French Polynesia,2020-03-27,36,0.10741638529541297,0.2076716782377984
Georgia,2020-04-21,11,0.10058134516290049,0.13485906727065514
Germany,2020-03-20,43,0.1692828092756395,1.9052278489977705
Greece,2020-03-29,34,0.10130372451115702,0.24738732347635042
Hungary,2020-04-09,23,0.10119075707103972,0.2956215688718232
Iceland,2020-03-05,57,0.10913456291607551,5.303349841164967
Iran,2020-03-12,51,0.10854632756054214,1.141424937814412
Ireland,2020-03-20,43,0.1140810180041147,4.221612106105588
Israel,2020-03-22,41,0.10364607646779805,1.8717331091228855
Italy,2020-03-09,54,0.12180001428569659,3.393274079346723
Japan,2020-04-25,7,0.1016235961792334,0.11257264792395534
Kazakhstan,2020-04-21,11,0.1050593035241979,0.18888034866536144
Kuwait,2020-04-05,27,0.11385560969441297,0.9564821991864672
Kyrgyzstan,2020-04-24,8,0.10224677946024299,0.11627453883741047
Latvia,2020-03-25,38,0.10331754200749656,0.4499819849869647
Lebanon,2020-04-24,8,0.10035425928710844,0.10575121799876978
Lithuania,2020-03-27,35,0.10834797601270027,0.525070960676932
Luxembourg,2020-03-16,47,0.1250550160866225,6.145560790542593
Malaysia,2020-04-04,28,0.10431997694381404,0.18785733621865341
Maldives,2020-04-21,11,0.12995500543362595,0.8814339498976369
Malta,2020-03-19,44,0.10899875559754027,1.0559254448511712
Mauritius,2020-03-31,32,0.10679348392883216,0.27866424712679644
Mexico,2020-04-25,7,0.10089709288996951,0.1506872058512099
Moldova,2020-04-02,30,0.1046184727533183,0.9638255043018473
Montenegro,2020-03-27,36,0.10669010664233494,0.5127494677437591
Morocco,2020-04-25,7,0.10303859952611567,0.12127188017669228
Netherlands,2020-03-19,44,0.11996165438292859,2.29956723730825
New Zealand,2020-03-30,33,0.11540721918151611,0.23666842774180477
North Macedonia,2020-03-28,35,0.1051136595440563,0.7031575855344405
Norway,2020-03-13,50,0.11545203748677461,1.4333900306329022
Oman,2020-04-12,20,0.10974905256014791,0.4719611271267899
Panama,2020-03-25,38,0.10432270427056646,1.538230032269391
Peru,2020-04-09,23,0.13355704394521972,1.1373572678301345
Poland,2020-04-06,26,0.10826713254789778,0.339872224724349
Portugal,2020-03-22,41,0.1251688434799794,2.4501801111205963
Puerto Rico,2020-04-03,29,0.10772453064831078,0.524645736290349
Qatar,2020-03-14,49,0.11299167710368434,4.734704369635322
Romania,2020-03-31,32,0.10080271911203546,0.6320826239402224
Russia,2020-04-13,19,0.10810828894015323,0.7300771436619174
Saudi Arabia,2020-04-11,21,0.10654090540451577,0.6639619886795254
Serbia,2020-04-01,31,0.10259643067017699,1.0269902710084717
Singapore,2020-03-27,36,0.10233726952794092,2.785675607739523
Slovakia,2020-04-08,24,0.10646850209079584,0.2558176057121359
Slovenia,2020-03-16,47,0.10535663944071501,0.6874640993643002
South Korea,2020-03-04,59,0.10401108764441201,0.21032572415181966
Spain,2020-03-15,46,0.12309364257389085,4.566746324136692
Sweden,2020-03-16,47,0.10282592955088683,2.101554753960567
Switzerland,2020-03-14,49,0.1304798480800199,3.434029400450336
Turkey,2020-03-30,33,0.11047635782569534,1.440783347735693
Ukraine,2020-04-17,15,0.10142375586215444,0.2242596986409717
United Arab Emirates,2020-04-03,29,0.10480497013007177,1.2774129220638923
United Kingdom,2020-03-25,38,0.11960579635425778,2.5359479315408824
United States,2020-03-23,40,0.10698800808352353,3.251109263647209
Uruguay,2020-04-03,29,0.10370525291660192,0.18574506302332877
