country,First,Days_In_Data,Start_Rate,End_Rate
Austria,2020-03-20,6,0.24522333748962324,0.5898313609381557
Estonia,2020-03-20,6,0.2014109326155963,0.27835443496312745
Gibraltar,2020-03-20,6,0.29672710008605085,0.44509065012907634
Iceland,2020-03-09,16,0.20057162914305773,2.173842509976964
Iran,2020-03-19,7,0.2093858658642858,0.29923810367829007
Italy,2020-03-12,14,0.20581312244452216,1.1424593611155724
Luxembourg,2020-03-18,8,0.22737275652113187,1.7848761386908851
Monaco,2020-03-17,9,0.2309824453341546,0.6929473360024637
Norway,2020-03-16,10,0.20022841283938206,0.4770530244622603
San Marino,2020-03-02,23,0.23626698168930893,5.522740696987596
Spain,2020-03-18,8,0.2391692572033638,0.8488604348746691
Switzerland,2020-03-16,10,0.2560710667047669,1.0230039114855438
