country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-03-19,11,0.020479590352655074,0.06838100507581439
Andorra,2020-03-14,15,0.025926213994970315,3.992636955225428
Antigua And Barbuda,2020-03-25,5,0.03089025721287506,0.07207726683004181
Armenia,2020-03-18,12,0.02637156658262702,0.14335313116710074
Aruba,2020-03-20,7,0.03762439565814474,0.26337076960701317
Australia,2020-03-19,11,0.022417789996333006,0.15113161432926092
Austria,2020-03-11,19,0.020323609937664584,0.9258409340284455
Bahrain,2020-02-27,31,0.020107581655061137,0.28820867038920966
Barbados,2020-03-21,9,0.02090410243010191,0.09058444386377493
Belgium,2020-03-10,20,0.020711778016882787,0.7915538929130015
Bermuda,2020-03-20,10,0.031996928294883695,0.3519662112437206
Bosnia And Herzegovina,2020-03-22,8,0.027870342320508938,0.07785519539533475
Bulgaria,2020-03-22,8,0.023285318435300885,0.04728491044223677
Canada,2020-03-20,10,0.02261364136641244,0.1439681706849851
Cayman Islands,2020-03-21,9,0.046190798792880454,0.12317546344768122
Chile,2020-03-21,9,0.022899911872274636,0.10072795337366884
Costa Rica,2020-03-21,9,0.022387049903904083,0.05844406833320093
Croatia,2020-03-20,10,0.025179744638651295,0.15906819449609522
Curaçao,2020-03-24,5,0.03671431368709614,0.04895241824946152
Cyprus,2020-03-16,14,0.025433406440247178,0.15175265842680818
Czech Republic,2020-03-15,15,0.020020190455626793,0.24912975319315023
Denmark,2020-03-11,19,0.04573902835057441,0.3813318234833874
Dominica,2020-03-25,5,0.02785204991087344,0.15318627450980393
Dominican Republic,2020-03-24,6,0.022814131501398924,0.06695249203879929
Ecuador,2020-03-21,9,0.02451987381819676,0.10561964426382878
Estonia,2020-03-13,17,0.020367397680228837,0.48278275982764657
Finland,2020-03-13,16,0.028018009615057852,0.22016732716864817
France,2020-03-10,20,0.021679808028677777,0.5769254863155577
French Polynesia,2020-03-21,9,0.05370819264770649,0.12173857000146802
Germany,2020-03-13,17,0.028365467192954446,0.6291769542373057
Greece,2020-03-15,15,0.021769320630107256,0.10130372451115702
Greenland,2020-03-20,10,0.035290796160361376,0.17645398080180688
Hungary,2020-03-25,5,0.02333582765107651,0.042128396821412464
Iceland,2020-03-02,27,0.029495827815155546,3.0056248543643505
Iran,2020-03-04,26,0.028173802353491827,0.4270453740292973
Ireland,2020-03-15,15,0.026420917993771626,0.49462416244153856
Isle Of Man,2020-03-22,8,0.02364513383145749,0.3783221413033198
Israel,2020-03-15,15,0.020893546558627466,0.42479632020040903
Italy,2020-03-02,28,0.02789426767844631,1.5271987689528048
Kuwait,2020-03-14,16,0.023769438349564295,0.05585818012147609
Latvia,2020-03-18,12,0.03199172620536695,0.15995863102683477
Lebanon,2020-03-20,10,0.021733698595609238,0.060095864573094
Liechtenstein,2020-03-05,19,0.026302638154606907,1.6044609274310213
Lithuania,2020-03-21,9,0.025003379079853907,0.14277291822409333
Luxembourg,2020-03-13,16,0.0422263690682102,2.973710837072803
Malaysia,2020-03-18,12,0.021064309775933647,0.0726139653494295
Maldives,2020-03-16,14,0.02448427638604547,0.030134494013594422
Mauritius,2020-03-23,7,0.023361074609432035,0.08510105750578811
Moldova,2020-03-23,7,0.023248549500737396,0.05713207377308872
Monaco,2020-02-29,18,0.0256647161482394,1.1035827943742942
Montenegro,2020-03-20,10,0.020701065467915735,0.13376073071576322
Netherlands,2020-03-11,19,0.022342931240506448,0.5709730229576544
New Caledonia,2020-03-24,6,0.02475685234305924,0.05305039787798409
New Zealand,2020-03-23,7,0.021325247022671457,0.09951781943913346
North Macedonia,2020-03-19,11,0.020158784022147783,0.11567302260327657
Norway,2020-03-07,23,0.02100818073430842,0.7148358842780167
Panama,2020-03-18,12,0.02025226313153209,0.21217778001756296
Poland,2020-03-25,5,0.023780762171052145,0.04323295053960423
Portugal,2020-03-16,14,0.023958098947339808,0.5055647818683543
Romania,2020-03-23,7,0.022360439229257865,0.07498235048702637
San Marino,2020-02-28,30,0.029533372711163616,6.61547548730065
Saudi Arabia,2020-03-25,5,0.022382052710288577,0.0351050970149637
Serbia,2020-03-23,7,0.021431254406659193,0.07512338645738514
Seychelles,2020-03-15,15,0.02046266075977859,0.07161931265922508
Singapore,2020-03-06,24,0.020157340967624726,0.13834482732480902
Sint Maarten,2020-03-03,5,0.023591582523355668,0.070774747570067
Slovakia,2020-03-20,10,0.022539803368619427,0.05405887799790838
Slovenia,2020-03-12,18,0.027421591087309384,0.33242665686545236
South Korea,2020-02-26,33,0.022371754211804835,0.18707549791599104
Spain,2020-03-10,20,0.02576129769841206,1.5458490333180022
Sweden,2020-03-09,21,0.020226418312819794,0.3434505612033982
Switzerland,2020-03-07,23,0.02432675133695286,1.530839395136861
Trinidad And Tobago,2020-03-22,8,0.035126127889213626,0.05304762171024099
Turkey,2020-03-25,5,0.022438075496333046,0.08872149296146219
Turks And Caicos Islands,2020-03-25,5,0.02618417951873478,0.1309208975936739
United Arab Emirates,2020-03-24,6,0.020265023521244346,0.04789914650475936
United Kingdom,2020-03-16,14,0.02059820016451313,0.2530572556515923
United States,2020-03-19,11,0.02861137579123939,0.37884622018214115
Uruguay,2020-03-19,11,0.022820933093068384,0.08781726152269355
