country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,26,0.10552195707130752,0.2603337756693441
Armenia,2020-03-27,34,0.1112339154574909,0.6532034184312231
Australia,2020-03-26,35,0.11105733486678952,0.26734702477042793
Austria,2020-03-17,44,0.1134548774542155,1.7100866076120629
Azerbaijan,2020-04-12,18,0.10529754119293555,0.17088457299458445
Bahamas,2020-04-09,21,0.1027005099080317,0.2054010198160634
Bahrain,2020-03-14,47,0.1279573378049345,1.7128003646174808
Barbados,2020-03-30,31,0.1149725633655605,0.2787213657346921
Belarus,2020-04-09,21,0.11277546014450704,1.2915223428181446
Belgium,2020-03-18,43,0.10771857771960378,4.101971969251589
Bosnia And Herzegovina,2020-03-31,30,0.10693729172977885,0.48106634353226296
Brazil,2020-04-13,17,0.10504169478664598,0.34061199293756295
Bulgaria,2020-04-15,15,0.1018554113151505,0.19985374534347203
Canada,2020-03-27,34,0.10740143145419052,1.3369045779445843
Cape Verde,2020-04-16,14,0.10001181957867748,0.2054788293161919
Chile,2020-03-29,32,0.10072795337366884,0.7579659770627306
Costa Rica,2020-04-10,20,0.10678424688676373,0.13967141754205645
Croatia,2020-03-26,35,0.10120320441304079,0.4956051661088385
Cuba,2020-04-22,8,0.10032220456853379,0.12679244324097014
Cyprus,2020-03-25,36,0.10512474661968833,0.7095920396828963
Denmark,2020-03-13,48,0.11711963320071324,1.5334702270111138
Djibouti,2020-04-08,22,0.1242861251489379,1.101113439336045
Dominican Republic,2020-04-01,29,0.10326886463286289,0.5974508886243898
Ecuador,2020-03-29,32,0.10561964426382878,1.3962514062953453
Estonia,2020-03-16,45,0.1289935186414493,1.2522177833029582
Finland,2020-03-23,38,0.11315660657436269,0.8568088101637047
France,2020-03-17,44,0.10184289423103379,1.9474209995165341
French Polynesia,2020-03-27,34,0.10741638529541297,0.2076716782377984
Georgia,2020-04-21,9,0.10058134516290049,0.1278534014384133
Germany,2020-03-20,41,0.1692828092756395,1.887530862711917
Greece,2020-03-29,32,0.10130372451115702,0.24194499331882363
Hungary,2020-04-09,21,0.10119075707103972,0.2815787699313524
Iceland,2020-03-05,55,0.10913456291607551,5.300400258383452
Iran,2020-03-12,49,0.10854632756054214,1.1166281323183593
Ireland,2020-03-20,41,0.1140810180041147,4.071074317536423
Israel,2020-03-22,39,0.10364607646779805,1.829828636530582
Italy,2020-03-09,52,0.12180001428569659,3.3279066954087173
Kazakhstan,2020-04-21,9,0.1050593035241979,0.16510859245490925
Kuwait,2020-04-05,25,0.11385560969441297,0.8176686792250117
Latvia,2020-03-25,36,0.10331754200749656,0.4384439853719143
Lithuania,2020-03-27,34,0.10834797601270027,0.525070960676932
Luxembourg,2020-03-16,45,0.1250550160866225,6.075724872468244
Malaysia,2020-04-04,26,0.10431997694381404,0.1831311686463414
Maldives,2020-04-21,9,0.12995500543362595,0.4614344395831646
Malta,2020-03-19,42,0.10899875559754027,1.02186333372694
Mauritius,2020-03-31,30,0.10679348392883216,0.27866424712679644
Moldova,2020-04-02,28,0.1046184727533183,0.8997683306774751
Montenegro,2020-03-27,34,0.10669010664233494,0.5111570780923809
Netherlands,2020-03-19,42,0.11996165438292859,2.2469268233908264
New Zealand,2020-03-30,31,0.11540721918151611,0.23541400144635352
North Macedonia,2020-03-28,33,0.1051136595440563,0.682038859416
Norway,2020-03-13,48,0.11545203748677461,1.4138691547293412
Oman,2020-04-12,18,0.10974905256014791,0.42834291392980806
Panama,2020-03-25,36,0.10432270427056646,1.4600468769244066
Peru,2020-04-09,21,0.13355704394521972,0.9593837403619075
Poland,2020-04-06,24,0.10826713254789778,0.3224787482862543
Portugal,2020-03-22,39,0.1251688434799794,2.3784036024375457
Puerto Rico,2020-04-03,27,0.10772453064831078,0.47726057882163
Qatar,2020-03-14,47,0.11299167710368434,4.209293071103191
Romania,2020-03-31,30,0.10080271911203546,0.5998588038962109
Russia,2020-04-13,17,0.10810828894015323,0.6413693910375938
Saudi Arabia,2020-04-11,19,0.10654090540451577,0.585872845194868
Serbia,2020-04-01,29,0.10259643067017699,0.9686243015605487
Singapore,2020-03-27,34,0.10233726952794092,2.5758325197175838
Slovakia,2020-04-08,22,0.10646850209079584,0.2536186005054413
Slovenia,2020-03-16,45,0.10535663944071501,0.6773614079110809
South Korea,2020-03-04,57,0.10401108764441201,0.21007194334487944
Spain,2020-03-15,44,0.12309364257389085,4.509789036368277
Sweden,2020-03-16,45,0.10282592955088683,1.9549879493390991
Switzerland,2020-03-14,47,0.1304798480800199,3.3965499079599106
Turkey,2020-03-30,31,0.11047635782569534,1.3742482210903166
Ukraine,2020-04-17,13,0.10142375586215444,0.213894563573033
United Arab Emirates,2020-04-03,27,0.10480497013007177,1.1647271094533367
United Kingdom,2020-03-25,36,0.11960579635425778,2.3862666897990428
United States,2020-03-23,38,0.10698800808352353,3.077152706619284
Uruguay,2020-04-03,27,0.10370525291660192,0.18054535674895877
