country,First,Days_In_Data,Start_Rate,End_Rate
Armenia,2020-03-27,8,0.1112339154574909,0.22415831595232966
Aruba,2020-03-24,10,0.11287318697443423,0.5643659348721711
Australia,2020-03-26,9,0.11105733486678952,0.20727528308113916
Austria,2020-03-17,18,0.1134548774542155,1.2427552472322483
Bahrain,2020-03-14,21,0.1279573378049345,0.3917931819455852
Barbados,2020-03-30,5,0.1149725633655605,0.1567807682257643
Belgium,2020-03-18,17,0.10771857771960378,1.330060121351954
Canada,2020-03-27,8,0.10740143145419052,0.30119445734838696
Chile,2020-03-29,6,0.10072795337366884,0.17961129035304804
Croatia,2020-03-26,9,0.10120320441304079,0.2447761714391967
Cyprus,2020-03-25,10,0.10512474661968833,0.30180975642426655
Czech Republic,2020-03-23,12,0.10898842000376267,0.36092474195237456
Denmark,2020-03-13,22,0.11711963320071324,0.5866376893751702
Ecuador,2020-03-29,6,0.10561964426382878,0.18205718518064873
Estonia,2020-03-16,19,0.1289935186414493,0.6472306373939387
Finland,2020-03-23,12,0.11315660657436269,0.2743957328752118
France,2020-03-17,18,0.10184289423103379,0.9074964968378189
French Polynesia,2020-03-27,8,0.10741638529541297,0.13248020853100934
Germany,2020-03-20,15,0.1692828092756395,0.8803232920896567
Greece,2020-03-29,6,0.10130372451115702,0.14455592734202802
Guam,2020-03-23,12,0.16139251856013964,0.49015505636783147
Iceland,2020-03-05,29,0.10913456291607551,4.023230913987216
Iran,2020-03-12,23,0.10854632756054214,0.6086795621472713
Ireland,2020-03-20,15,0.1140810180041147,0.7883264601397442
Israel,2020-03-22,13,0.10364607646779805,0.7338564780030277
Italy,2020-03-09,26,0.12180001428569659,1.9032511520423385
Latvia,2020-03-25,10,0.10331754200749656,0.24020017380423056
Lithuania,2020-03-27,8,0.10834797601270027,0.23517671047572736
Luxembourg,2020-03-16,19,0.1250550160866225,4.039114610486107
Malta,2020-03-19,16,0.10899875559754027,0.4428074446150073
Montenegro,2020-03-27,8,0.10669010664233494,0.22930410979845126
Netherlands,2020-03-19,16,0.11996165438292859,0.8596179592715268
New Zealand,2020-03-30,5,0.11540721918151611,0.16140285001472907
North Macedonia,2020-03-28,7,0.1051136595440563,0.16990975104381703
Norway,2020-03-13,22,0.11545203748677461,0.9174811674673634
Panama,2020-03-25,10,0.10432270427056646,0.34734986184895156
Portugal,2020-03-22,13,0.1251688434799794,0.8834182281235421
Qatar,2020-03-14,21,0.11299167710368434,0.3350909424106139
Singapore,2020-03-27,8,0.10233726952794092,0.18072692884648153
Slovenia,2020-03-16,19,0.10535663944071501,0.43152924921607927
Spain,2020-03-15,20,0.12309364257389085,2.35869928212421
Sweden,2020-03-16,19,0.10282592955088683,0.5446187315166157
Switzerland,2020-03-14,21,0.1304798480800199,2.19336508226574
Turkey,2020-03-30,5,0.11047635782569534,0.2173688563707264
United Kingdom,2020-03-25,10,0.11960579635425778,0.4993027412991041
United States,2020-03-23,12,0.10698800808352353,0.7461749561105598
