country,First,Days_In_Data,Start_Rate,End_Rate
Austria,2020-03-22,22,0.33768459588735,1.5418026506007414
Bahrain,2020-03-30,14,0.30466032810698696,0.6336934824625329
Belgium,2020-03-24,20,0.3243689753857417,2.428044336723941
Canada,2020-04-03,10,0.30119445734838696,0.6228374201876788
Cyprus,2020-04-03,10,0.30180975642426655,0.522232612239742
Denmark,2020-03-27,17,0.3251975614167733,1.0388303560228944
Estonia,2020-03-26,18,0.3047566171412019,0.9836698731488299
Finland,2020-04-05,8,0.34019286513250896,0.5251117285918908
France,2020-03-24,20,0.3048684619103583,1.4400490049643688
Germany,2020-03-24,20,0.3497729116254053,1.4425678015787078
Iceland,2020-03-11,32,0.31265577484064877,5.017240311357958
Iran,2020-03-26,18,0.32584401463368523,0.8445989747485784
Ireland,2020-03-26,18,0.3203280290097583,1.828573301150334
Israel,2020-03-27,17,0.31293368047921816,1.2610077004457017
Italy,2020-03-15,29,0.3494132748803367,2.514794572921669
Luxembourg,2020-03-19,25,0.3410591347816978,5.3107779558864365
Malta,2020-03-27,17,0.3042881927097999,0.8401987410643729
Montenegro,2020-04-05,8,0.32007031992700485,0.4187984783124491
Netherlands,2020-03-25,19,0.3252007793120834,1.4279004721845128
Norway,2020-03-21,23,0.3238606268952679,1.1749708162905241
Panama,2020-04-02,11,0.31014221563055544,0.7615792903183115
Portugal,2020-03-27,17,0.34656123538519296,1.5633392974331488
Qatar,2020-04-03,10,0.3350909424106139,0.9632540473089091
Slovenia,2020-03-28,16,0.3040429046873602,0.5715236879249745
Spain,2020-03-20,24,0.36688452793577375,3.463054447743678
Sweden,2020-03-28,16,0.3034959122209315,1.0114205531696243
Switzerland,2020-03-18,26,0.3084492394398329,2.8889472161874163
Turkey,2020-04-06,7,0.324453133338803,0.6252815621886784
United Kingdom,2020-03-31,13,0.32786826013118997,1.1697141834615792
United States,2020-03-28,16,0.31813175635493224,1.6104755403019764
