country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-29,14,0.2603337756693441,0.3026814031782242
Algeria,2020-05-04,9,0.10391829578454527,0.13683117578604298
Armenia,2020-04-28,15,0.6312271129457006,1.146825049336806
Austria,2020-03-31,43,1.0740246174750439,1.7726207920356463
Bahamas,2020-04-09,34,0.1027005099080317,0.23877868553617368
Barbados,2020-04-08,35,0.21949307551607003,0.2926574340214267
Belarus,2020-05-03,10,1.6744934176053072,2.5290901971994235
Belgium,2020-03-25,49,0.3699522190546971,4.631898841942962
Bosnia And Herzegovina,2020-04-09,34,0.24719781884277495,0.6488942744622842
Brazil,2020-04-18,25,0.15959287129792998,0.7975900367689522
Bulgaria,2020-05-03,10,0.22771041463723687,0.2842808815107286
Canada,2020-04-08,35,0.4780138871815055,1.8705972062209326
Chile,2020-04-28,15,0.7288398218703445,1.586267397733162
Croatia,2020-04-20,23,0.45299329056650556,0.5316799925622908
Cyprus,2020-04-06,37,0.3781099757450081,0.7638499734220903
Denmark,2020-03-29,45,0.3813318234833874,1.8214182009454118
Dominican Republic,2020-04-09,34,0.19657400652838014,0.9902264260648007
Ecuador,2020-04-06,34,0.20985788718578732,1.8350190075068804
Estonia,2020-04-06,37,0.8275198242670755,1.3133199763436447
Finland,2020-04-13,30,0.5375842619044005,1.0816759324935885
France,2020-03-23,51,0.2459399185576209,2.1421707764540336
Germany,2020-04-02,41,0.8803232920896567,2.0415952216700193
Greece,2020-04-17,26,0.21072320452038032,0.2602770527968087
Guyana,2020-05-01,12,0.10475672167672076,0.13924978857027515
Hungary,2020-04-12,31,0.14559078313282248,0.34208671242485167
Iceland,2020-04-05,37,4.607248304727296,5.312198589509514
Iran,2020-03-17,57,0.18080199960667634,1.3180659948646007
Ireland,2020-03-31,43,0.5960067547432204,4.738356106867493
Israel,2020-04-10,33,1.1700386072831384,1.9374656151500278
Italy,2020-03-11,63,0.16761333491329283,3.6302845207045573
Lithuania,2020-04-16,26,0.3953432837118929,0.5381162019359863
Luxembourg,2020-03-22,52,1.0881410490654169,6.314466266815434
Malta,2020-05-06,7,1.0945291707919669,1.1422161263658905
Mexico,2020-04-26,17,0.10850043192844609,0.28474896623787466
Moldova,2020-04-16,27,0.5067689141171375,1.2353883484700352
Montenegro,2020-04-27,16,0.5111570780923809,0.5159342470465154
Netherlands,2020-03-23,51,0.2458892223431652,2.5026422563319106
North Macedonia,2020-04-07,36,0.2735834974434342,0.7986718241155694
Norway,2020-04-06,37,1.0485499056769867,1.5070116197549033
Panama,2020-04-05,38,0.42412006860336393,2.0289941760614014
Peru,2020-04-19,24,0.4435496484776758,2.116919133670638
Poland,2020-04-21,22,0.25319517370355515,0.43090424329034105
Portugal,2020-03-30,43,0.5830130037715915,2.7066784520955856
Puerto Rico,2020-04-10,33,0.23283498238226663,0.7690713327297124
Romania,2020-04-09,34,0.2458615500473365,0.8049758122532832
Serbia,2020-04-15,28,0.5089922921581559,1.1600236427774677
Slovenia,2020-04-05,38,0.4700156928473907,0.7023775962714334
Spain,2020-03-18,54,0.2391692572033638,4.866317693800702
Sweden,2020-03-29,45,0.3434505612033982,2.6573328886842558
Switzerland,2020-03-25,49,1.0230039114855438,3.522257522524069
Turkey,2020-04-10,33,0.5067984552008301,1.675316372968999
United Arab Emirates,2020-04-30,13,1.2209164928531504,1.932136939565913
United Kingdom,2020-03-26,48,0.14110729645409464,3.303116124152623
United States,2020-04-01,42,0.5762328045441563,4.096200872121534
