aldur,distribution
[0 - 9],0.023296447291788005
[10 - 19],0.07221898660454282
[20 - 29],0.17705299941758884
[30 - 39],0.20267909143855561
[40 - 49],0.15026208503203264
[50 - 59],0.14094350611531742
[60 - 69],0.11997670355270822
[70 - 79],0.07326732673267328
80+,0.040302853814793246
